Trust Code,Trust Name,Region,ICB,Predecessors,Successors,Total Quantity,Unit
TAD,"Bradford District Care NHS Foundation Trust","North East And Yorkshire","NHS West Yorkshire","","",37034.061272552055,"DDD (24.0 mmol)"
RAE,"Bradford Teaching Hospitals NHS Foundation Trust","North East And Yorkshire","NHS West Yorkshire","","",9966.31927593469,"DDD (24.0 mmol)"
RY2,"Bridgewater Community Healthcare NHS Foundation Trust","North West","NHS Cheshire And Merseyside","","",0,""
RXH,"Brighton And Sussex University Hospitals NHS Trust","South East","NHS Sussex","","RYR",0,""
RXQ,"Buckinghamshire Healthcare NHS Trust","South East","NHS Buckinghamshire, Oxfordshire And Berkshire West","","",11205.87916626759,"DDD (24.0 mmol)"
RJF,"Burton Hospitals NHS Foundation Trust","Midlands","NHS England Midlands (North Midlands)","","RTG",0,""
RWY,"Calderdale And Huddersfield NHS Foundation Trust","North East And Yorkshire","NHS West Yorkshire","","",6215.924914899235,"DDD (24.0 mmol)"
RT1,"Cambridgeshire And Peterborough NHS Foundation Trust","East Of England","NHS Cambridgeshire And Peterborough","","",42748.78157662727,"DDD (24.0 mmol)"
RYV,"Cambridgeshire Community Services NHS Trust","East Of England","NHS Cambridgeshire And Peterborough","","",0,""
RGT,"Cambridge University Hospitals NHS Foundation Trust","East Of England","NHS Cambridgeshire And Peterborough","","",18751.8515402918,"DDD (24.0 mmol)"
TAF,"Camden And Islington NHS Foundation Trust","London","NHS North Central London","","G6V2S",0,""
RV3,"Central And North West London NHS Foundation Trust","London","NHS North Central London","","",129728.66645716086,"DDD (24.0 mmol)"
RYX,"Central London Community Healthcare NHS Trust","London","NHS North West London","","",1230.1580482091033,"DDD (24.0 mmol)"
RW3,"Central Manchester University Hospitals NHS Foundation Trust","North West","NHS England North West (Greater Manchester)","","R0A",0,""
RQM,"Chelsea And Westminster Hospital NHS Foundation Trust","London","NHS North West London","","",5117.019545183681,"DDD (24.0 mmol)"
RXA,"Cheshire And Wirral Partnership NHS Foundation Trust","North West","NHS Cheshire And Merseyside","","",44728.0501052914,"DDD (24.0 mmol)"
RFS,"Chesterfield Royal Hospital NHS Foundation Trust","Midlands","NHS Derby And Derbyshire","","",11248.70656878322,"DDD (24.0 mmol)"
RLN,"City Hospitals Sunderland NHS Foundation Trust","North East And Yorkshire","NHS England North East And Yorkshire (Cumbria And North East)","","R0B",0,""
RJ8,"Cornwall Partnership NHS Foundation Trust","South West","NHS Cornwall And The Isles Of Scilly","","",21778.580748231427,"DDD (24.0 mmol)"
RJR,"Countess Of Chester Hospital NHS Foundation Trust","North West","NHS Cheshire And Merseyside","","",11048.321823305696,"DDD (24.0 mmol)"
RXP,"County Durham And Darlington NHS Foundation Trust","North East And Yorkshire","NHS North East And North Cumbria","","",2891.163567672066,"DDD (24.0 mmol)"
RYG,"Coventry And Warwickshire Partnership NHS Trust","Midlands","NHS Coventry And Warwickshire","","",86970.12726028387,"DDD (24.0 mmol)"
RJ6,"Croydon Health Services NHS Trust","London","NHS South West London","","",4664.230861053714,"DDD (24.0 mmol)"
RX4,"Cumbria, Northumberland, Tyne And Wear NHS Foundation Trust","North East And Yorkshire","NHS North East And North Cumbria","","",137556.90992381333,"DDD (24.0 mmol)"
RN7,"Dartford And Gravesham NHS Trust","South East","NHS Kent And Medway","","",7178.622949183798,"DDD (24.0 mmol)"
RY8,"Derbyshire Community Health Services NHS Foundation Trust","Midlands","NHS Derby And Derbyshire","","",1103.5506441788923,"DDD (24.0 mmol)"
RXM,"Derbyshire Healthcare NHS Foundation Trust","Midlands","NHS Derby And Derbyshire","","",55960.31662915727,"DDD (24.0 mmol)"
RWV,"Devon Partnership NHS Trust","South West","NHS Devon","","",33834.40576186114,"DDD (24.0 mmol)"
RP5,"Doncaster And Bassetlaw Teaching Hospitals NHS Foundation Trust","North East And Yorkshire","NHS South Yorkshire","","",8177.693247939273,"DDD (24.0 mmol)"
RBD,"Dorset County Hospital NHS Foundation Trust","South West","NHS Dorset","","",2751.772316839733,"DDD (24.0 mmol)"
RDY,"Dorset Healthcare University NHS Foundation Trust","South West","NHS Dorset","","",38183.70366144103,"DDD (24.0 mmol)"
RYK,"Dudley Integrated Health And Care NHS Trust","Midlands","NHS Black Country","","TAJ",0,""
RWH,"East And North Hertfordshire Teaching NHS Trust","East Of England","NHS Hertfordshire And West Essex","","",3684.386312112217,"DDD (24.0 mmol)"
RJN,"East Cheshire NHS Trust","North West","NHS Cheshire And Merseyside","","",4914.178374323306,"DDD (24.0 mmol)"
RVV,"East Kent Hospitals University NHS Foundation Trust","South East","NHS Kent And Medway","","",9470.673059076978,"DDD (24.0 mmol)"
RXR,"East Lancashire Hospitals NHS Trust","North West","NHS Lancashire And South Cumbria","","",7180.570024480793,"DDD (24.0 mmol)"
RWK,"East London NHS Foundation Trust","London","NHS North East London","","",175829.5631357448,"DDD (24.0 mmol)"
RYC,"East Of England Ambulance Service NHS Trust","East Of England","NHS Cambridgeshire And Peterborough","","",0,""
RDE,"East Suffolk And North Essex NHS Foundation Trust","East Of England","NHS Suffolk And North East Essex","RGQ","",10457.146709612696,"DDD (24.0 mmol)"
RXC,"East Sussex Healthcare NHS Trust","South East","NHS Sussex","","",7515.2942220383,"DDD (24.0 mmol)"
RVR,"Epsom And St Helier University Hospitals NHS Trust","London","NHS South West London","","",6687.3898433128525,"DDD (24.0 mmol)"
R1L,"Essex Partnership University NHS Foundation Trust","East Of England","NHS Mid And South Essex","","",85233.5187164976,"DDD (24.0 mmol)"
RDU,"Frimley Health NHS Foundation Trust","South East","NHS Frimley","","",15562.606637076935,"DDD (24.0 mmol)"
RR7,"Gateshead Health NHS Foundation Trust","North East And Yorkshire","NHS North East And North Cumbria","","",5317.304117580205,"DDD (24.0 mmol)"
RLT,"George Eliot Hospital NHS Trust","Midlands","NHS Coventry And Warwickshire","","",2541.7474797433147,"DDD (24.0 mmol)"
R1J,"Gloucestershire Care Services NHS Trust","South West","NHS England South West (South West North)","","RTQ",0,""
RTQ,"Gloucestershire Health And Care NHS Foundation Trust","South West","NHS Gloucestershire","R1J","",64570.2474148981,"DDD (24.0 mmol)"
RTE,"Gloucestershire Hospitals NHS Foundation Trust","South West","NHS Gloucestershire","","",17607.10555313436,"DDD (24.0 mmol)"
RXV,"Greater Manchester Mental Health NHS Foundation Trust","North West","NHS Greater Manchester","","",113910.69538370732,"DDD (24.0 mmol)"
RP4,"Great Ormond Street Hospital For Children NHS Foundation Trust","London","NHS North Central London","","",0,""
RN3,"Great Western Hospitals NHS Foundation Trust","South West","NHS Bath And North East Somerset, Swindon And Wiltshire","","",6145.4247854952,"DDD (24.0 mmol)"
RJ1,"Guy's And St Thomas' NHS Foundation Trust","London","NHS South East London","RT3","",11829.307836786169,"DDD (24.0 mmol)"
RW1,"Hampshire And Isle Of Wight Healthcare NHS Foundation Trust","South East","NHS Hampshire And Isle Of Wight","R1C","",84560.66328474753,"DDD (24.0 mmol)"
RN5,"Hampshire Hospitals NHS Foundation Trust","South East","NHS Hampshire And Isle Of Wight","","",15414.192434146962,"DDD (24.0 mmol)"
RCD,"Harrogate And District NHS Foundation Trust","North East And Yorkshire","NHS Humber And North Yorkshire","","",1886.3425012568064,"DDD (24.0 mmol)"
RR1,"Heart Of England NHS Foundation Trust","Midlands","NHS England Midlands (West Midlands)","","RRK",0,""
R1A,"Herefordshire And Worcestershire Health And Care NHS Trust","Midlands","NHS Herefordshire And Worcestershire","","",40733.860550226644,"DDD (24.0 mmol)"
RY4,"Hertfordshire Community NHS Trust","East Of England","NHS Hertfordshire And West Essex","","",28.79769618430526,"DDD (24.0 mmol)"
RWR,"Hertfordshire Partnership University NHS Foundation Trust","East Of England","NHS Hertfordshire And West Essex","","",39177.371640154226,"DDD (24.0 mmol)"
RQX,"Homerton Healthcare NHS Foundation Trust","London","NHS North East London","","",2344.496335901021,"DDD (24.0 mmol)"
RY9,"Hounslow And Richmond Community Healthcare NHS Trust","London","NHS South West London","","RAX",0,""
RWA,"Hull University Teaching Hospitals NHS Trust","North East And Yorkshire","NHS Humber And North Yorkshire","","",12014.135564730886,"DDD (24.0 mmol)"
RV9,"Humber Teaching NHS Foundation Trust","North East And Yorkshire","NHS Humber And North Yorkshire","","",7853.191281616629,"DDD (24.0 mmol)"
RYJ,"Imperial College Healthcare NHS Trust","London","NHS North West London","","",8674.646488974711,"DDD (24.0 mmol)"
RGQ,"Ipswich Hospital NHS Trust","East Of England","NHS England East Of England (East)","","RDE",0,""
R1F,"Isle Of Wight NHS Trust","South East","NHS Hampshire And Isle Of Wight","","",19778.524796310372,"DDD (24.0 mmol)"
RGP,"James Paget University Hospitals NHS Foundation Trust","East Of England","NHS Norfolk And Waveney","","",2514.0489316233443,"DDD (24.0 mmol)"
RXY,"Kent And Medway Mental Health NHS Trust","South East","NHS Kent And Medway","","",43606.03201234672,"DDD (24.0 mmol)"
RYY,"Kent Community Health NHS Foundation Trust","South East","NHS Kent And Medway","","",802.6571591650136,"DDD (24.0 mmol)"
RNQ,"Kettering General Hospital NHS Foundation Trust","Midlands","NHS Northamptonshire","","",9512.133905162824,"DDD (24.0 mmol)"
RJZ,"King's College Hospital NHS Foundation Trust","London","NHS South East London","","",24149.299975161754,"DDD (24.0 mmol)"
RAX,"Kingston And Richmond NHS Foundation Trust","London","NHS South West London","RY9","",6865.6728348110255,"DDD (24.0 mmol)"
